id,category,difficulty,text,choice_a,choice_b,choice_c,choice_d,correct_choice_id,clue
ACT1-001,AI_FUNDAMENTALS,EASY,Who stated that “artificial intelligence is the science of making machines do things that would require intelligence if done by men”?,Allen Newell,John McCarthy,Marvin Minsky,Kevin Warwick,C,Think of the MIT AI researcher known for studying common-sense intelligence.
ACT1-002,AI_FUNDAMENTALS,EASY,Who coined the phrase “Artificial Intelligence” for the 1956 Dartmouth conference?,Marvin Minsky,Allen Newell,John McCarthy,Horvitz,C,Recall the Dartmouth organizer also associated with the Lisp programming language.
ACT1-003,AI_FUNDAMENTALS,EASY,Who originally formulated the IQ test in 1904 to help identify kids who might struggle in a normal school environment?,Frances Galton,Alfred Binet,Cyril Burt,John Loehlin,B,Think of the French psychologist whose work focused on assessing schoolchildren.
ACT1-004,AI_FUNDAMENTALS,EASY,"According to Kevin Warwick’s Artificial Intelligence: The Basics, what was the primary reason for the loss of AI research funding during the 1970s?",Highly optimistic claims from 1960s that failed to produce the promised results.,A conflict in ideas between researchers as to how AI should be developed.,Limited computing power.,Lack of aspiring researchers in the field due to its complexity and cost.,A,Compare what researchers promised with what their systems could actually deliver.
ACT1-005,AI_FUNDAMENTALS,EASY,Which statement best expresses Marvin Minsky’s definition of artificial intelligence?,Machines that only store knowledge,Machines doing tasks that require human intelligence,Machines used only for games,Machines with no knowledge,B,"Focus on the kind of task being performed, rather than a particular application."
ACT1-006,AI_FUNDAMENTALS,EASY,"Based on Allen Newell's Unified Theories of Cognition, how does a system accurately demonstrate ""perfect intelligence""?",By defining problem boundaries,By bringing all the knowledge it has at its disposal to bear in the solution of a problem,By copying human common sense,By having high IQ,B,Consider whether the system uses everything it knows when tackling a problem.
ACT1-007,AI_FUNDAMENTALS,MEDIUM,A school describes a student’s entire intelligence using only one IQ score. What concern from the passage applies?,IQ is only for researchers,One score may not show all abilities,Students cannot take IQ tests,Intelligence cannot be measured,B,Think about whether one measurement can capture many different kinds of ability.
ACT1-008,AI_FUNDAMENTALS,MEDIUM,"You are testing a brand new robot to see if it actually possesses ""common-sense knowledge"" according to Marvin Minsky's standards. Which task should you assign it to prove this?",Assemble a car part,Fill a glass with water,Beat a human at chess,Solve a differential equation,B,Look for an everyday activity that requires practical understanding of the physical world.
ACT1-009,AI_FUNDAMENTALS,MEDIUM,Which application area of artificial intelligence would be useful for making a chatbot that can communicate in a user's dialect?,Expert Systems,Vision and Speech,Natural Language Processing (NLP),Problem Solving,C,Focus on understanding and producing human language.
ACT1-010,AI_FUNDAMENTALS,MEDIUM,How does Minsky’s definition of AI differ from Newell’s?,Newell believed AI is the ability of a machine to be physically fit while Minsky defined AI as the ability to think critically.,"Marvin Minsky defined AI as machines doing tasks that require human intelligence, while Newell focused on copying human intelligence.","Minsky focused on machines doing tasks that require human intelligence, while Newell saw intelligence as approximating knowledge-level systems to achieve goals.",They both believe AI is the new meta.,C,Compare a definition based on human tasks with one based on knowledge and goals.
ACT1-011,AI_FUNDAMENTALS,MEDIUM,Why can passing the Turing Test still be questioned as proof of intelligence?,It depends on human judgement,It measures only memory,It ignores machine behavior,It tests only speed,A,Consider who decides whether the machine sounds intelligent.
ACT1-012,AI_FUNDAMENTALS,MEDIUM,You test a new chatbot that reads your English prompts perfectly. But it only replies in a raw binary code. Which specific NLP component is missing?,Voice Recognition,Natural Language Generation,Heuristic algorithm,Natural Language Understanding,B,The input is understood; think about the stage that creates a readable response.
ACT1-013,AI_FUNDAMENTALS,HARD,Evaluate the following options and choose the one that best states the advantage of AI compared with human capabilities in medical diagnostics.,"AI is useful in complementing human expertise because it can analyze drug interactions without fatigue, while humans provide clinical judgment.",AI can totally replace humans because they can easily learn medications.,It is still too early to apply AI in medical diagnostics.,"AI does not make mistakes, unlike humans.",A,Look for an option where computational strengths support professional judgment.
ACT1-014,AI_FUNDAMENTALS,HARD,"According to John McCarthy’s view, which AI design should be considered better?",One that closely copies human thinking,One that solves problems effectively in its own way,One that imitates human conversation,One that behaves exactly like a person,B,Judge the result achieved rather than how closely the method resembles human thinking.
ACT1-015,AI_FUNDAMENTALS,HARD,Many computer scientists argue that the Turing Test is a fundamentally flawed measurement. Which specific assumption do these critics challenge to justify rejecting the test?,Code limits math speed,Interrogators are easily fooled,It strictly compares behavior,The physical rooms isolate signals,C,Consider whether observable conversation alone establishes what happens inside a system.
ACT1-016,AI_FUNDAMENTALS,HARD,Choose the option that best synthesizes why AI struggled during its winter age and how it was able to recover.,The people feared that AI might take over and rule everything but succeeding studies showed no definitive proof of this happening which allowed the research to continue.,"There was no noticeable improvement in the AI research so most researchers abandoned it, however a decade later, a human-like robot was built which sparked new hope for the field.","Lack of computing power, small data and vocabulary, and over-expectations during the 1960s resulted in a lack of AI research funding, but it was able to recover only after AI researchers stopped making it exactly imitate the human brain and instead focused it on certain domains.",AI struggled due to multiple bugs in its codebase but it has learned on its own mistakes and revived itself.,C,"Connect research expectations, practical limitations and a later narrowing of the problems being tackled."
ACT1-017,AI_FUNDAMENTALS,HARD,Choose the option that best synthesizes the change in thinking about how AI should be developed.,AI should copy human thinking before attempting any problem.,AI should focus on human behavior rather than successful results.,AI could solve problems in its own way instead of exactly copying human intelligence.,AI development should avoid using abilities that differ from humans.,C,Consider whether useful intelligent behavior requires reproducing the human thinking process.
ACT1-018,AI_FUNDAMENTALS,HARD,"Your team wants to develop an intelligent emergency response system. The system should understand emergency calls, determine the type of emergency, and recommend the best route for responders. Which combination of AI application areas would best achieve this goal?",Game playing + Robotics,Vision system + Voice system,Natural Language Processing + Expert Systems + Problem Solving,Speech recognition only,C,"Break the task into understanding the caller, applying specialist knowledge and planning a route."
ACT2-001,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,What does problem-solving involve?,Moving from an initial situation to a goal using resources.,Reducing a composite situation into easier sub-problems.,Using an internal knowledge base to constrain solutions.,Guaranteeing a 100% correct transition to a goal state.,A,Think about what separates the starting situation from the desired outcome.
ACT2-002,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,"In state space representation, what does the term ""state"" exactly define?",A procedural rule,The position at a certain time,A global database,An operator limit,B,Imagine taking a snapshot of the problem while a search is in progress.
ACT2-003,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,"According to Polya, an important step in understanding a problem is isolation of principal parts. What are these?","the data, the conditions, and the solutions","the conditions, the boundaries, and the solutions","the data, the conditions, and the unknowns","the data, the unknowns, and the solutions",C,"Separate what is given, what must hold and what must be found."
ACT2-004,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,Which statement best explains the difference between an algorithm and a heuristic?,"Algorithms guarantee a 100% correct solution, while heuristics select likely paths without guarantees.","Algorithms strictly fit the Human Window, while heuristics guarantee a solution.","Algorithms evaluate every node, while heuristics rely on backward chaining.","Algorithms use exhaustive enumeration, while heuristics use problem reduction.",A,Compare a prescribed solution procedure with a rule that guides promising choices.
ACT2-005,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,"A production system has the characteristics of a monotonic production system and also satisfies the partially commutative condition. Based on these characteristics, which type of production system is being described?",Monotonic Production System,Non-Monotonic Production System,Commutative Law Based Production System,Partially Commutative Production System,C,Look for the system type that combines both properties named in the question.
ACT2-006,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,EASY,Which of the following best describes the primary purpose of a production system in artificial intelligence?,To execute hardware tasks automatically without the need for an algorithm or database.,To structure problem-solving by separating domain knowledge from the control mechanism that executes those rules.,To ensure the system does not make mistakes by eliminating heuristics.,To translate natural language queries into machine code without the use of logic.,B,Consider the relationship between stored rules and the mechanism that chooses and applies them.
ACT2-007,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,"An AI starts at one condition, applies allowed actions, and continues until it reaches a desired condition. Which method is being used?",Problem analysis,State Space Search,Problem reduction,Conflict resolution,B,Imagine possible situations connected by the actions that move between them.
ACT2-008,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,A group of students needs to calculate the factorial of a number. They decide to solve the problem by having a function repeatedly call itself with a smaller value until it reaches 1. Which problem-solving technique are the students applying?,Exhaustive enumeration,Backward chaining,Recursion,Generate and Test,C,Look at how the function tackles a smaller instance of its own task.
ACT2-009,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,"A politician was asked how to solve urban flooding. He answered: “We will simply collect all the floodwater and save it to use during dry seasons.” Which criterion of Polya’s Human Window was violated, and why?",Grain Size – because it contains many sub-steps.,"Executability – it lacks resources, infrastructure, and realistic steps needed to carry it out.",Comprehensibility – the idea is too complex for regular people.,Representation – the problem lacks a proper search tree structure.,B,Ask whether the proposed action can actually be carried out with the available means.
ACT2-010,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,Critique the argument made by Hubert Dreyfus regarding expert systems vs. human expertise. What core distinction does he highlight to challenge the traditional knowledge representation approach?,"Experts rely on symbolic manipulation and explicit reasoning, where novices act on instincts.","Experts have compiled out all declarative knowledge, making them less accurate than knowledge-based systems.","Novices figure out actions through deliberate reasoning, whereas experts recognize patterns and react without step-by-step symbolic reasoning.",Expert performance is limited because human brains cannot compute predicate logic at runtime.,C,Compare a beginner working through rules with an expert recognizing a familiar situation.
ACT2-011,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,"Two programs give the same answer, but only one explicitly stores facts that it reasons with. What mainly distinguishes the second program?",It produces more accurate outputs,It uses an explicit knowledge base,It follows fewer instructions,It performs calculations faster,B,"Focus on how facts are represented and used, rather than whether the final answers match."
ACT2-012,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,MEDIUM,"When analyzing an AI system, how does Allen Newell's ""knowledge level"" fundamentally differ from the ""symbol level""?",The knowledge level focuses exclusively on computational data structures.,"The knowledge level describes what an agent knows and its goals, while the symbol level describes how that knowledge is represented and processed.",The knowledge level strictly tests the execution speed of algorithms.,The knowledge level maps out the physical hardware limits.,B,Compare describing what an agent knows and wants with describing its internal implementation.
ACT2-013,KNOWLEDGE_AND_PROBLEM_REPRESENTATION,HARD,"When deciding whether to replace a traditional DBMS with a knowledge-based system, which choice highlights the primary tradeoff and potential risk of this change?","The KBS will require clerical personnel rather than domain experts for routine updates, which increases human error.","The KBS requires much more computational power and expertise to manage logical inferences, whereas the DBMS excels at rapid, direct retrieval of data.","The DBMS is incapable of storing facts about single objects, whereas the KBS can only operate on single instances.",The KBS will drastically increase data storage requirements because its knowledge base must be larger than a standard database.,B,Consider the extra reasoning work involved when stored facts must support new conclusions.
